sheet,row,forwarder,label,predicted,expected,rule_engine_now,engine_matches_a,reason,in_stat,in_tarif,in_fr_diff,in_tz_diff,in_empf_plz,in_empf_ort,in_anz_sdg,in_av_diff,in_exp_diff,in_exp_dl,in_snk_dl,in_snk_diff,in_snk_tarif,in_maut_diff,in_dgr_diff,in_serv_art,in_sachkonto,in_zz_diff,in_referenz3,in_lg_diff
Soll-Ist-Vergleich best. Beleg,112,dachser,correct,,,,true,STAT=30 | TARIF=52.81 | FR=-0.04 | VKG_DL=64 | SERV=DA01 | SACH=612100,30,52.81,-0.04,,96231,Bad Staffelstein,1,,,,,,,,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,113,dachser,correct,Differenz Telefonische Zustellterminvereinbarung - Laderaumzuschlag,Differenz Telefonische Zustellterminvereinbarung - Laderaumzuschlag,Differenz Telefonische Zustellterminvereinbarung - Laderaumzuschlag,true,STAT=10 | TARIF=38.83 | FR=0.05 | SNK_DL=9 | SNK_DIFF=7.43 | TZ=0.01 | VKG_DL=30 | SERV=DA01 | SACH=612100,10,38.83,0.05,0.01,70173,Stuttgart,1,,,,9,7.43,1.57,,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,114,dachser,correct,Differenz Telefonische Zustellterminvereinbarung - Laderaumzuschlag,Differenz Telefonische Zustellterminvereinbarung - Laderaumzuschlag,Differenz Telefonische Zustellterminvereinbarung - Laderaumzuschlag,true,STAT=10 | TARIF=39.01 | FR=0.05 | SNK_DL=9 | SNK_DIFF=7.43 | TZ=0.01 | VKG_DL=38 | SERV=DA01 | SACH=612100,10,39.01,0.05,0.01,75339,Höfen,1,,,,9,7.43,1.57,,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,115,dachser,correct,,,,true,STAT=30 | TARIF=43.3 | FR=-0.02 | VKG_DL=41 | SERV=DA01 | SACH=612100,30,43.3,-0.02,,46397,Bocholt,1,,,,,,,,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,116,dachser,correct,Mautdifferenz,Mautdifferenz,Mautdifferenz,true,STAT=10 | TARIF=117.95 | FR=0.05 | EXP_DL=30 | MAUT=-1.37 | TZ=0.01 | VKG_DL=164 | SERV=DA07 | SACH=612100,10,117.95,0.05,0.01,21218,Seevetal-Hittfeld,1,,,30,,,,-1.37,,DA07,612100,,,
Soll-Ist-Vergleich best. Beleg,117,dachser,correct,,,,true,STAT=30 | TARIF=38.08 | FR=0.05 | TZ=0.01 | VKG_DL=63 | SERV=DA01 | SACH=612100,30,38.08,0.05,0.01,73269,Hochdorf,1,,,,,,,,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,118,dachser,correct,,,,true,STAT=30 | TARIF=67.81 | FR=0.02 | EXP_DL=10 | TZ=0.01 | VKG_DL=76 | SERV=DA02 | SACH=612100,30,67.81,0.02,0.01,48282,Emsdetten,1,,,10,,,,,,DA02,612100,,,
Soll-Ist-Vergleich best. Beleg,119,dachser,correct,,,,true,STAT=30 | TARIF=57.81 | FR=0.02 | TZ=0.01 | VKG_DL=53 | SERV=DA01 | SACH=612100,30,57.81,0.02,0.01,39116,Magdeburg,1,,,,,,,,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,120,dachser,correct,,,,true,STAT=30 | TARIF=42.37 | FR=-0.01 | VKG_DL=40 | SERV=DA01 | SACH=612100,30,42.37,-0.01,,34117,Kassel,1,,,,,,,,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,121,dachser,correct,,,,true,STAT=30 | TARIF=44.19 | FR=-0.04 | TZ=-0.01 | VKG_DL=40 | SERV=DA01 | SACH=612100,30,44.19,-0.04,-0.01,29699,Walsrode,1,,,,,,,,,DA01,612100,,,
