sheet,row,forwarder,label,predicted,expected,rule_engine_now,engine_matches_a,reason,in_stat,in_tarif,in_existing_anmerkung,in_avis_diff,in_snk_diff,in_fr_diff,in_mt_diff,in_tz_diff,in_referenz,in_vkg,in_vkg_dl,in_empf_plz,in_empf_ort,in_kostenstelle,in_sachkonto
Soll-Ist-Vergleich best. Beleg,5,wackler,missed,,Avis ok?,,true,STAT=10 | TARIF=43.25 | AVIS=8.7 | REF=2542925044 | VKG=196 | VKG_DL=196 | DEST=97877 Wertheim | KOST=211FO998 | SACH=612100,10,43.25,,8.7,,,,,2542925044,196,196,97877,Wertheim,211FO998,612100
Soll-Ist-Vergleich best. Beleg,16,wackler,missed,,Avis ok?,,true,STAT=10 | TARIF=69.8 | AVIS=8.7 | REF=2542949990 | VKG=214 | VKG_DL=214 | DEST=66693 Mettlach | KOST=211FO998 | SACH=612100,10,69.8,,8.7,,,,,2542949990,214,214,66693,Mettlach,211FO998,612100
Soll-Ist-Vergleich best. Beleg,37,wackler,wrong,SNK Differenz,2.Zustellung ok?,SNK Differenz,true,STAT=10 | TARIF=55.38 | SNK=22 | REF=2542919768 | VKG=116 | VKG_DL=116 | DEST=06796 Sandersdorf-Brehna | KOST=211FO998 | SACH=612100,10,55.38,SNK Differenz,,22,,,,2542919768,116,116,06796,Sandersdorf-Brehna,211FO998,612100
Soll-Ist-Vergleich best. Beleg,52,wackler,missed,,"Kontierung, Ok?",,true,"STAT=30 | TARIF=89.71 | REF=81602812,81602813,81602816,81602817 | VKG=601 | VKG_DL=601 | DEST=88499 Riedlingen | KOST=X | SACH=X",30,89.71,,,,,,,"81602812,81602813,81602816,81602817",601,601,88499,Riedlingen,X,X
Soll-Ist-Vergleich best. Beleg,54,wackler,missed,,Avis ok?,,true,"STAT=10 | TARIF=56.63 | AVIS=8.7 | REF=2542892259,2542906256 | VKG=263 | VKG_DL=263 | DEST=97877 Wertheim | KOST=211FO998 | SACH=612100",10,56.63,,8.7,,,,,"2542892259,2542906256",263,263,97877,Wertheim,211FO998,612100
Soll-Ist-Vergleich best. Beleg,81,wackler,wrong,hätte gebündelt werden müssen // Mautdifferenz // SNK Differenz,hätte gebündelt werden müssen // Mautdifferenz // DifferenzEnergiezuschlag,,false,"STAT=10 | TARIF=282.96 | AVIS=8.7 | SNK=-0.39 | FR=584.78 | MT=-24.21 | TZ=-24.4 | REF=2542880080,2542847472 | VKG=2801 | VKG_DL=2801 | DEST=97877 Wertheim | KOST=211FO998 | SACH=612100",10,282.96,hätte gebündelt werden müssen // Mautdifferenz // SNK Differenz,8.7,-0.39,584.78,-24.21,-24.4,"2542880080,2542847472",2801,2801,97877,Wertheim,211FO998,612100
